EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
79949,16,Verdun,,Common Hackberry,,ARTHUR-THERRIEN,299906.362,5036556.131,-73.562584,45.468915
79950,16,Verdun,,Pyramidale Silver Maple,,ARTHUR-THERRIEN,300081.289,5036614.811,-73.560347,45.469445
79951,16,Verdun,,Summit Red Ash,,ARTHUR-THERRIEN,300110.819,5036587.546,-73.559969,45.4692
79952,16,Verdun,,Oak,,SUTHERLAND-SACKVILLE-BAIN,299696.232,5036473.26,-73.56527,45.468168
79953,16,Verdun,,Amelanchier Ballerina,,SUTHERLAND-SACKVILLE-BAIN,299867.222,5036443.254,-73.563083,45.467899
79954,16,Verdun,,Silver Maple,,DESMARCHAIS,299857.138,5035085.136,-73.563199,45.455678
79955,16,Verdun,,White Ash,,DE L'ORÉE-DU-FLEUVE,301123.465,5034564.63,-73.547004,45.451002
79956,16,Verdun,,Elaeagnus angustifolia 'Velvet Touch',,SUTHERLAND-SACKVILLE-BAIN,299770.825,5036451.346,-73.564316,45.467972
79957,16,Verdun,,Rosthern Crab Apple,,SUTHERLAND-SACKVILLE-BAIN,299659.985,5036480.417,-73.565734,45.468232
79958,16,Verdun,,Rosthern Crab Apple,,SUTHERLAND-SACKVILLE-BAIN,299655.302,5036480.115,-73.565794,45.46823
79959,16,Verdun,,Amelanchier Ballerina,,SUTHERLAND-SACKVILLE-BAIN,299871.991,5036444.046,-73.563022,45.467907
79960,16,Verdun,,Amelanchier Ballerina,,SUTHERLAND-SACKVILLE-BAIN,299873.067,5036440.034,-73.563009,45.46787
79961,16,Verdun,,Emerald Queen Norway Maple,,DU CLUB MARIN,300451.3,5035708.761,-73.555607,45.461294
79962,16,Verdun,,Crab Apple,,ESPLANADE DE LA POINTE-NORD,301838.859,5037029.625,-73.537872,45.473187
79963,16,Verdun,,Freeman Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299342.022,5034204.324,-73.569775,45.447749
79964,16,Verdun,,Amelanchier Ballerina,,SUTHERLAND-SACKVILLE-BAIN,299867.021,5036435.503,-73.563086,45.46783
79965,16,Verdun,,White Ash,,DE L'ORÉE-DU-FLEUVE,301123.465,5034564.63,-73.547004,45.451002
79966,16,Verdun,,Eastern Cottonwood,,DU CLUB MARIN,300435.571,5035688.542,-73.555808,45.461112
79967,16,Verdun,,Manitoba Maple,,MONSEIGNEUR-J.-A.-RICHARD,299946.726,5035524.367,-73.562058,45.459631
79968,16,Verdun,,Blue-beech,,DE L'ORÉE-DU-FLEUVE,301123.122,5034564.602,-73.547008,45.451002
79969,16,Verdun,,Rosthern Crab Apple,,SAINTE-FAMILLE,301709.479,5035815.175,-73.539519,45.462258
79973,16,Verdun,,Acre x freemanii 'Armstrong',,SUTHERLAND-SACKVILLE-BAIN,299845.726,5036472.601,-73.563359,45.468163
79975,16,Verdun,,American Hop-Hornbeam Ironwood,2022-05-15T00:00:00,SUTHERLAND-SACKVILLE-BAIN,299853.279,5036475.161,-73.563262,45.468186
79977,16,Verdun,,Acre x freemanii 'Armstrong',,SUTHERLAND-SACKVILLE-BAIN,299838.298,5036469.581,-73.563453,45.468136
79978,16,Verdun,,Ginkgo biloba mâle,2023-06-19T00:00:00,SUTHERLAND-SACKVILLE-BAIN,299831.29,5036466.393,-73.563543,45.468107
79979,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300152.042,5036608.51,-73.559442,45.469388
79980,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300153.702,5036607.148,-73.559421,45.469376
79981,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300156.543,5036608.376,-73.559385,45.469387
79982,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300158.859,5036606.216,-73.559355,45.469368
79983,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300155.884,5036606.06,-73.559393,45.469366
79984,16,Verdun,,Eastern Cottonwood,,DU CLUB MARIN,300432.842,5035690.038,-73.555843,45.461125
79986,16,Verdun,,Eastern Cottonwood,,DU CLUB MARIN,300433.872,5035688.351,-73.55583,45.46111
79987,16,Verdun,,Eastern Cottonwood,,DU CLUB MARIN,300434.267,5035690.455,-73.555825,45.461129
79989,16,Verdun,,Red Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298230.109,5032958.564,-73.583973,45.436529
